Ref_Date,GEO,DON,Value
2012,"Sherbrooke, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Sherbrooke, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Sherbrooke, Quebec",Percentage of persons aged 65 years and over,17
2012,"Sherbrooke, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Sherbrooke, Quebec","Percentage of persons with total income $25,000 and over",56
2012,"Sherbrooke, Quebec","Percentage of persons with total income $35,000 and over",41
2012,"Sherbrooke, Quebec","Percentage of persons with total income $50,000 and over",23
2012,"Sherbrooke, Quebec","Percentage of persons with total income $75,000 and over",9
2012,"Sherbrooke, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Cowansville, Quebec",Number of persons,12590
2012,"Cowansville, Quebec",Percentage of persons aged 0 to 24 years,28
2012,"Cowansville, Quebec",Percentage of persons aged 25 to 44 years,21
2012,"Cowansville, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Cowansville, Quebec",Percentage of persons aged 65 years and over,21
2012,"Cowansville, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Cowansville, Quebec","Percentage of persons with total income $25,000 and over",52
2012,"Cowansville, Quebec","Percentage of persons with total income $35,000 and over",35
2012,"Cowansville, Quebec","Percentage of persons with total income $50,000 and over",17
2012,"Cowansville, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Cowansville, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Victoriaville, Quebec",Number of persons,47460
2012,"Victoriaville, Quebec",Percentage of persons aged 0 to 24 years,28
2012,"Victoriaville, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Victoriaville, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Victoriaville, Quebec",Percentage of persons aged 65 years and over,20
2012,"Victoriaville, Quebec","Percentage of persons with total income $15,000 and over",78
2012,"Victoriaville, Quebec","Percentage of persons with total income $25,000 and over",54
2012,"Victoriaville, Quebec","Percentage of persons with total income $35,000 and over",38
2012,"Victoriaville, Quebec","Percentage of persons with total income $50,000 and over",19
2012,"Victoriaville, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Victoriaville, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Trois-Rivières, Quebec",Number of persons,149970
2012,"Trois-Rivières, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Trois-Rivières, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Trois-Rivières, Quebec",Percentage of persons aged 45 to 64 years,31
2012,"Trois-Rivières, Quebec",Percentage of persons aged 65 years and over,20
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $25,000 and over",55
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $35,000 and over",40
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $50,000 and over",23
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $75,000 and over",9
2012,"Trois-Rivières, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Shawinigan, Quebec",Number of persons,54340
2012,"Shawinigan, Quebec",Percentage of persons aged 0 to 24 years,23
2012,"Shawinigan, Quebec",Percentage of persons aged 25 to 44 years,20
2012,"Shawinigan, Quebec",Percentage of persons aged 45 to 64 years,33
2012,"Shawinigan, Quebec",Percentage of persons aged 65 years and over,24
2012,"Shawinigan, Quebec","Percentage of persons with total income $15,000 and over",75
2012,"Shawinigan, Quebec","Percentage of persons with total income $25,000 and over",51
2012,"Shawinigan, Quebec","Percentage of persons with total income $35,000 and over",36
2012,"Shawinigan, Quebec","Percentage of persons with total income $50,000 and over",18
2012,"Shawinigan, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Shawinigan, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"La Tuque, Quebec",Number of persons,
2012,"La Tuque, Quebec",Percentage of persons aged 0 to 24 years,
2012,"La Tuque, Quebec",Percentage of persons aged 25 to 44 years,
2012,"La Tuque, Quebec",Percentage of persons aged 45 to 64 years,
2012,"La Tuque, Quebec",Percentage of persons aged 65 years and over,
2012,"La Tuque, Quebec","Percentage of persons with total income $15,000 and over",
2012,"La Tuque, Quebec","Percentage of persons with total income $25,000 and over",
2012,"La Tuque, Quebec","Percentage of persons with total income $35,000 and over",
2012,"La Tuque, Quebec","Percentage of persons with total income $50,000 and over",
2012,"La Tuque, Quebec","Percentage of persons with total income $75,000 and over",
2012,"La Tuque, Quebec","Percentage of persons with total income $100,000 and over",
2012,"Drummondville, Quebec",Number of persons,89720
2012,"Drummondville, Quebec",Percentage of persons aged 0 to 24 years,30
2012,"Drummondville, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Drummondville, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Drummondville, Quebec",Percentage of persons aged 65 years and over,17
2012,"Drummondville, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Drummondville, Quebec","Percentage of persons with total income $25,000 and over",54
2012,"Drummondville, Quebec","Percentage of persons with total income $35,000 and over",38
2012,"Drummondville, Quebec","Percentage of persons with total income $50,000 and over",19
2012,"Drummondville, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Drummondville, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Granby, Quebec",Number of persons,78350
2012,"Granby, Quebec",Percentage of persons aged 0 to 24 years,29
2012,"Granby, Quebec",Percentage of persons aged 25 to 44 years,24
2012,"Granby, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Granby, Quebec",Percentage of persons aged 65 years and over,18
2012,"Granby, Quebec","Percentage of persons with total income $15,000 and over",79
2012,"Granby, Quebec","Percentage of persons with total income $25,000 and over",57
2012,"Granby, Quebec","Percentage of persons with total income $35,000 and over",41
2012,"Granby, Quebec","Percentage of persons with total income $50,000 and over",22
2012,"Granby, Quebec","Percentage of persons with total income $75,000 and over",8
2012,"Granby, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Saint-Hyacinthe, Quebec",Number of persons,57010
2012,"Saint-Hyacinthe, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Saint-Hyacinthe, Quebec",Percentage of persons aged 25 to 44 years,23
2012,"Saint-Hyacinthe, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Saint-Hyacinthe, Quebec",Percentage of persons aged 65 years and over,20
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $15,000 and over",79
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $25,000 and over",56
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $35,000 and over",40
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $50,000 and over",20
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $75,000 and over",7
2012,"Saint-Hyacinthe, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Sorel-Tracy, Quebec",Number of persons,47970
2012,"Sorel-Tracy, Quebec",Percentage of persons aged 0 to 24 years,23
2012,"Sorel-Tracy, Quebec",Percentage of persons aged 25 to 44 years,22
2012,"Sorel-Tracy, Quebec",Percentage of persons aged 45 to 64 years,33
2012,"Sorel-Tracy, Quebec",Percentage of persons aged 65 years and over,23
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $15,000 and over",76
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $25,000 and over",55
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $35,000 and over",40
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $50,000 and over",23
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $75,000 and over",10
2012,"Sorel-Tracy, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Joiliette, Quebec",Number of persons,47670
2012,"Joiliette, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Joiliette, Quebec",Percentage of persons aged 25 to 44 years,22
2012,"Joiliette, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Joiliette, Quebec",Percentage of persons aged 65 years and over,21
2012,"Joiliette, Quebec","Percentage of persons with total income $15,000 and over",77
2012,"Joiliette, Quebec","Percentage of persons with total income $25,000 and over",54
2012,"Joiliette, Quebec","Percentage of persons with total income $35,000 and over",39
2012,"Joiliette, Quebec","Percentage of persons with total income $50,000 and over",21
2012,"Joiliette, Quebec","Percentage of persons with total income $75,000 and over",7
2012,"Joiliette, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Saint-Jean-sur-Richelieu, Quebec",Number of persons,91770
2012,"Saint-Jean-sur-Richelieu, Quebec",Percentage of persons aged 0 to 24 years,30
2012,"Saint-Jean-sur-Richelieu, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Saint-Jean-sur-Richelieu, Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Saint-Jean-sur-Richelieu, Quebec",Percentage of persons aged 65 years and over,16
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $15,000 and over",79
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $25,000 and over",59
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $35,000 and over",45
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $50,000 and over",26
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $75,000 and over",9
2012,"Saint-Jean-sur-Richelieu, Quebec","Percentage of persons with total income $100,000 and over",4
2012,"Montréal, Quebec",Number of persons,3790320
2012,"Montréal, Quebec",Percentage of persons aged 0 to 24 years,30
2012,"Montréal, Quebec",Percentage of persons aged 25 to 44 years,28
2012,"Montréal, Quebec",Percentage of persons aged 45 to 64 years,27
2012,"Montréal, Quebec",Percentage of persons aged 65 years and over,15
2012,"Montréal, Quebec","Percentage of persons with total income $15,000 and over",76
2012,"Montréal, Quebec","Percentage of persons with total income $25,000 and over",57
2012,"Montréal, Quebec","Percentage of persons with total income $35,000 and over",44
2012,"Montréal, Quebec","Percentage of persons with total income $50,000 and over",27
2012,"Montréal, Quebec","Percentage of persons with total income $75,000 and over",12
2012,"Montréal, Quebec","Percentage of persons with total income $100,000 and over",6
2012,"Salaberry-de-Valleyfield, Quebec",Number of persons,39640
2012,"Salaberry-de-Valleyfield, Quebec",Percentage of persons aged 0 to 24 years,26
2012,"Salaberry-de-Valleyfield, Quebec",Percentage of persons aged 25 to 44 years,22
2012,"Salaberry-de-Valleyfield, Quebec",Percentage of persons aged 45 to 64 years,31
2012,"Salaberry-de-Valleyfield, Quebec",Percentage of persons aged 65 years and over,21
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $15,000 and over",76
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $25,000 and over",53
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $35,000 and over",37
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $50,000 and over",20
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $75,000 and over",7
2012,"Salaberry-de-Valleyfield, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Lachute, Quebec",Number of persons,12890
2012,"Lachute, Quebec",Percentage of persons aged 0 to 24 years,27
2012,"Lachute, Quebec",Percentage of persons aged 25 to 44 years,21
2012,"Lachute, Quebec",Percentage of persons aged 45 to 64 years,31
2012,"Lachute, Quebec",Percentage of persons aged 65 years and over,21
2012,"Lachute, Quebec","Percentage of persons with total income $15,000 and over",74
2012,"Lachute, Quebec","Percentage of persons with total income $25,000 and over",48
2012,"Lachute, Quebec","Percentage of persons with total income $35,000 and over",33
2012,"Lachute, Quebec","Percentage of persons with total income $50,000 and over",17
2012,"Lachute, Quebec","Percentage of persons with total income $75,000 and over",5
2012,"Lachute, Quebec","Percentage of persons with total income $100,000 and over",2
2012,"Val-d'Or, Quebec",Number of persons,33170
2012,"Val-d'Or, Quebec",Percentage of persons aged 0 to 24 years,31
2012,"Val-d'Or, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Val-d'Or, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Val-d'Or, Quebec",Percentage of persons aged 65 years and over,14
2012,"Val-d'Or, Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Val-d'Or, Quebec","Percentage of persons with total income $25,000 and over",61
2012,"Val-d'Or, Quebec","Percentage of persons with total income $35,000 and over",47
2012,"Val-d'Or, Quebec","Percentage of persons with total income $50,000 and over",30
2012,"Val-d'Or, Quebec","Percentage of persons with total income $75,000 and over",15
2012,"Val-d'Or, Quebec","Percentage of persons with total income $100,000 and over",8
2012,"Amos, Quebec",Number of persons,15950
2012,"Amos, Quebec",Percentage of persons aged 0 to 24 years,31
2012,"Amos, Quebec",Percentage of persons aged 25 to 44 years,24
2012,"Amos, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Amos, Quebec",Percentage of persons aged 65 years and over,16
2012,"Amos, Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Amos, Quebec","Percentage of persons with total income $25,000 and over",60
2012,"Amos, Quebec","Percentage of persons with total income $35,000 and over",46
2012,"Amos, Quebec","Percentage of persons with total income $50,000 and over",27
2012,"Amos, Quebec","Percentage of persons with total income $75,000 and over",11
2012,"Amos, Quebec","Percentage of persons with total income $100,000 and over",5
2012,"Rouyn-Noranda, Quebec",Number of persons,41630
2012,"Rouyn-Noranda, Quebec",Percentage of persons aged 0 to 24 years,30
2012,"Rouyn-Noranda, Quebec",Percentage of persons aged 25 to 44 years,25
2012,"Rouyn-Noranda, Quebec",Percentage of persons aged 45 to 64 years,30
2012,"Rouyn-Noranda, Quebec",Percentage of persons aged 65 years and over,15
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $25,000 and over",61
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $35,000 and over",48
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $50,000 and over",30
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $75,000 and over",15
2012,"Rouyn-Noranda, Quebec","Percentage of persons with total income $100,000 and over",7
2012,"Hawkesbury, Quebec part",Number of persons,1710
2012,"Hawkesbury, Quebec part",Percentage of persons aged 0 to 24 years,30
2012,"Hawkesbury, Quebec part",Percentage of persons aged 25 to 44 years,22
2012,"Hawkesbury, Quebec part",Percentage of persons aged 45 to 64 years,29
2012,"Hawkesbury, Quebec part",Percentage of persons aged 65 years and over,18
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $15,000 and over",74
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $25,000 and over",50
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $35,000 and over",33
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $50,000 and over",17
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $75,000 and over",5
2012,"Hawkesbury, Quebec part","Percentage of persons with total income $100,000 and over",x
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Number of persons,305910
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Percentage of persons aged 0 to 24 years,32
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Percentage of persons aged 25 to 44 years,27
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Percentage of persons aged 45 to 64 years,29
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Percentage of persons aged 65 years and over,12
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $15,000 and over",80
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $25,000 and over",65
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $35,000 and over",53
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $50,000 and over",36
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $75,000 and over",16
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec","Percentage of persons with total income $100,000 and over",6
2012,"Non CMA-CA, Quebec",Number of persons,1553100
2012,"Non CMA-CA, Quebec",Percentage of persons aged 0 to 24 years,28
2012,"Non CMA-CA, Quebec",Percentage of persons aged 25 to 44 years,22
2012,"Non CMA-CA, Quebec",Percentage of persons aged 45 to 64 years,32
2012,"Non CMA-CA, Quebec",Percentage of persons aged 65 years and over,18
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $15,000 and over",76
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $25,000 and over",53
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $35,000 and over",37
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $50,000 and over",19
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $75,000 and over",6
2012,"Non CMA-CA, Quebec","Percentage of persons with total income $100,000 and over",3
2012,"Cornwall, Ontario",Number of persons,59410
2012,"Cornwall, Ontario",Percentage of persons aged 0 to 24 years,29
2012,"Cornwall, Ontario",Percentage of persons aged 25 to 44 years,21
2012,"Cornwall, Ontario",Percentage of persons aged 45 to 64 years,30
2012,"Cornwall, Ontario",Percentage of persons aged 65 years and over,20
2012,"Cornwall, Ontario","Percentage of persons with total income $15,000 and over",76
2012,"Cornwall, Ontario","Percentage of persons with total income $25,000 and over",53
2012,"Cornwall, Ontario","Percentage of persons with total income $35,000 and over",38
2012,"Cornwall, Ontario","Percentage of persons with total income $50,000 and over",21
2012,"Cornwall, Ontario","Percentage of persons with total income $75,000 and over",8
2012,"Cornwall, Ontario","Percentage of persons with total income $100,000 and over",3
2012,"Hawkesbury, Ontario part",Number of persons,10610
2012,"Hawkesbury, Ontario part",Percentage of persons aged 0 to 24 years,25
2012,"Hawkesbury, Ontario part",Percentage of persons aged 25 to 44 years,19
2012,"Hawkesbury, Ontario part",Percentage of persons aged 45 to 64 years,33
2012,"Hawkesbury, Ontario part",Percentage of persons aged 65 years and over,23
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $15,000 and over",75
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $25,000 and over",48
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $35,000 and over",33
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $50,000 and over",17
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $75,000 and over",6
2012,"Hawkesbury, Ontario part","Percentage of persons with total income $100,000 and over",2
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Number of persons,895440
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Percentage of persons aged 0 to 24 years,31
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Percentage of persons aged 25 to 44 years,27
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Percentage of persons aged 45 to 64 years,28
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Percentage of persons aged 65 years and over,14
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $15,000 and over",79
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $25,000 and over",66
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $35,000 and over",56
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $50,000 and over",42
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $75,000 and over",23
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec","Percentage of persons with total income $100,000 and over",11
2012,"Brockville, Ontario",Number of persons,33940
2012,"Brockville, Ontario",Percentage of persons aged 0 to 24 years,27
2012,"Brockville, Ontario",Percentage of persons aged 25 to 44 years,20
2012,"Brockville, Ontario",Percentage of persons aged 45 to 64 years,31
2012,"Brockville, Ontario",Percentage of persons aged 65 years and over,22
2012,"Brockville, Ontario","Percentage of persons with total income $15,000 and over",78
2012,"Brockville, Ontario","Percentage of persons with total income $25,000 and over",59
2012,"Brockville, Ontario","Percentage of persons with total income $35,000 and over",44
2012,"Brockville, Ontario","Percentage of persons with total income $50,000 and over",27
2012,"Brockville, Ontario","Percentage of persons with total income $75,000 and over",12
2012,"Brockville, Ontario","Percentage of persons with total income $100,000 and over",5
2012,"Pembroke, Ontario",Number of persons,26630
2012,"Pembroke, Ontario",Percentage of persons aged 0 to 24 years,29
2012,"Pembroke, Ontario",Percentage of persons aged 25 to 44 years,23
2012,"Pembroke, Ontario",Percentage of persons aged 45 to 64 years,29
2012,"Pembroke, Ontario",Percentage of persons aged 65 years and over,19
2012,"Pembroke, Ontario","Percentage of persons with total income $15,000 and over",78
2012,"Pembroke, Ontario","Percentage of persons with total income $25,000 and over",58
2012,"Pembroke, Ontario","Percentage of persons with total income $35,000 and over",44
2012,"Pembroke, Ontario","Percentage of persons with total income $50,000 and over",28
2012,"Pembroke, Ontario","Percentage of persons with total income $75,000 and over",12
2012,"Pembroke, Ontario","Percentage of persons with total income $100,000 and over",5
2012,"Petawawa, Ontario",Number of persons,13420
2012,"Petawawa, Ontario",Percentage of persons aged 0 to 24 years,38
2012,"Petawawa, Ontario",Percentage of persons aged 25 to 44 years,37
2012,"Petawawa, Ontario",Percentage of persons aged 45 to 64 years,18
2012,"Petawawa, Ontario",Percentage of persons aged 65 years and over,7
2012,"Petawawa, Ontario","Percentage of persons with total income $15,000 and over",81
2012,"Petawawa, Ontario","Percentage of persons with total income $25,000 and over",70
2012,"Petawawa, Ontario","Percentage of persons with total income $35,000 and over",62
2012,"Petawawa, Ontario","Percentage of persons with total income $50,000 and over",50
2012,"Petawawa, Ontario","Percentage of persons with total income $75,000 and over",17
2012,"Petawawa, Ontario","Percentage of persons with total income $100,000 and over",5
2012,"Kingston, Ontario",Number of persons,146270
2012,"Kingston, Ontario",Percentage of persons aged 0 to 24 years,29
2012,"Kingston, Ontario",Percentage of persons aged 25 to 44 years,25
2012,"Kingston, Ontario",Percentage of persons aged 45 to 64 years,28
2012,"Kingston, Ontario",Percentage of persons aged 65 years and over,18
2012,"Kingston, Ontario","Percentage of persons with total income $15,000 and over",79
2012,"Kingston, Ontario","Percentage of persons with total income $25,000 and over",62
2012,"Kingston, Ontario","Percentage of persons with total income $35,000 and over",50
2012,"Kingston, Ontario","Percentage of persons with total income $50,000 and over",33
2012,"Kingston, Ontario","Percentage of persons with total income $75,000 and over",16
2012,"Kingston, Ontario","Percentage of persons with total income $100,000 and over",7
2012,"Belleville, Ontario",Number of persons,89000
2012,"Belleville, Ontario",Percentage of persons aged 0 to 24 years,30
2012,"Belleville, Ontario",Percentage of persons aged 25 to 44 years,23
2012,"Belleville, Ontario",Percentage of persons aged 45 to 64 years,28
2012,"Belleville, Ontario",Percentage of persons aged 65 years and over,19
2012,"Belleville, Ontario","Percentage of persons with total income $15,000 and over",77
2012,"Belleville, Ontario","Percentage of persons with total income $25,000 and over",58
2012,"Belleville, Ontario","Percentage of persons with total income $35,000 and over",43
2012,"Belleville, Ontario","Percentage of persons with total income $50,000 and over",26
2012,"Belleville, Ontario","Percentage of persons with total income $75,000 and over",11
2012,"Belleville, Ontario","Percentage of persons with total income $100,000 and over",4
2012,"Cobourg, Ontario",Number of persons,21650
2012,"Cobourg, Ontario",Percentage of persons aged 0 to 24 years,26
2012,"Cobourg, Ontario",Percentage of persons aged 25 to 44 years,19
2012,"Cobourg, Ontario",Percentage of persons aged 45 to 64 years,29
2012,"Cobourg, Ontario",Percentage of persons aged 65 years and over,27
2012,"Cobourg, Ontario","Percentage of persons with total income $15,000 and over",79
2012,"Cobourg, Ontario","Percentage of persons with total income $25,000 and over",60
2012,"Cobourg, Ontario","Percentage of persons with total income $35,000 and over",45
2012,"Cobourg, Ontario","Percentage of persons with total income $50,000 and over",28
2012,"Cobourg, Ontario","Percentage of persons with total income $75,000 and over",14
2012,"Cobourg, Ontario","Percentage of persons with total income $100,000 and over",6
2012,"Port Hope, Ontario",Number of persons,15730
2012,"Port Hope, Ontario",Percentage of persons aged 0 to 24 years,27
2012,"Port Hope, Ontario",Percentage of persons aged 25 to 44 years,21
2012,"Port Hope, Ontario",Percentage of persons aged 45 to 64 years,31
2012,"Port Hope, Ontario",Percentage of persons aged 65 years and over,21
2012,"Port Hope, Ontario","Percentage of persons with total income $15,000 and over",78
2012,"Port Hope, Ontario","Percentage of persons with total income $25,000 and over",60
2012,"Port Hope, Ontario","Percentage of persons with total income $35,000 and over",47
2012,"Port Hope, Ontario","Percentage of persons with total income $50,000 and over",29
2012,"Port Hope, Ontario","Percentage of persons with total income $75,000 and over",14
2012,"Port Hope, Ontario","Percentage of persons with total income $100,000 and over",6
2012,"Peterborough, Ontario",Number of persons,115340
2012,"Peterborough, Ontario",Percentage of persons aged 0 to 24 years,29
2012,"Peterborough, Ontario",Percentage of persons aged 25 to 44 years,22
2012,"Peterborough, Ontario",Percentage of persons aged 45 to 64 years,29
2012,"Peterborough, Ontario",Percentage of persons aged 65 years and over,21
2012,"Peterborough, Ontario","Percentage of persons with total income $15,000 and over",77
2012,"Peterborough, Ontario","Percentage of persons with total income $25,000 and over",58
2012,"Peterborough, Ontario","Percentage of persons with total income $35,000 and over",44
2012,"Peterborough, Ontario","Percentage of persons with total income $50,000 and over",27
2012,"Peterborough, Ontario","Percentage of persons with total income $75,000 and over",12
2012,"Peterborough, Ontario","Percentage of persons with total income $100,000 and over",5
2012,"Kawartha Lakes, Ontario",Number of persons,70050
2012,"Kawartha Lakes, Ontario",Percentage of persons aged 0 to 24 years,26
2012,"Kawartha Lakes, Ontario",Percentage of persons aged 25 to 44 years,19
2012,"Kawartha Lakes, Ontario",Percentage of persons aged 45 to 64 years,31
2012,"Kawartha Lakes, Ontario",Percentage of persons aged 65 years and over,23
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $15,000 and over",77
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $25,000 and over",57
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $35,000 and over",43
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $50,000 and over",25
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $75,000 and over",11
2012,"Kawartha Lakes, Ontario","Percentage of persons with total income $100,000 and over",4
2012,"Centre Wellington, Ontario",Number of persons,25220
2012,"Centre Wellington, Ontario",Percentage of persons aged 0 to 24 years,31
2012,"Centre Wellington, Ontario",Percentage of persons aged 25 to 44 years,23
2012,"Centre Wellington, Ontario",Percentage of persons aged 45 to 64 years,28
2012,"Centre Wellington, Ontario",Percentage of persons aged 65 years and over,18
2012,"Centre Wellington, Ontario","Percentage of persons with total income $15,000 and over",80
2012,"Centre Wellington, Ontario","Percentage of persons with total income $25,000 and over",65
2012,"Centre Wellington, Ontario","Percentage of persons with total income $35,000 and over",52
2012,"Centre Wellington, Ontario","Percentage of persons with total income $50,000 and over",34
2012,"Centre Wellington, Ontario","Percentage of persons with total income $75,000 and over",16
2012,"Centre Wellington, Ontario","Percentage of persons with total income $100,000 and over",7
2012,"Oshawa, Ontario",Number of persons,352590
2012,"Oshawa, Ontario",Percentage of persons aged 0 to 24 years,33
2012,"Oshawa, Ontario",Percentage of persons aged 25 to 44 years,26
2012,"Oshawa, Ontario",Percentage of persons aged 45 to 64 years,27
2012,"Oshawa, Ontario",Percentage of persons aged 65 years and over,13
2012,"Oshawa, Ontario","Percentage of persons with total income $15,000 and over",78
2012,"Oshawa, Ontario","Percentage of persons with total income $25,000 and over",63
2012,"Oshawa, Ontario","Percentage of persons with total income $35,000 and over",51
2012,"Oshawa, Ontario","Percentage of persons with total income $50,000 and over",35
2012,"Oshawa, Ontario","Percentage of persons with total income $75,000 and over",18
2012,"Oshawa, Ontario","Percentage of persons with total income $100,000 and over",8
2012,"Ingersoll, Ontario",Number of persons,13480
2012,"Ingersoll, Ontario",Percentage of persons aged 0 to 24 years,33
2012,"Ingersoll, Ontario",Percentage of persons aged 25 to 44 years,25
