Ref_Date,GEO,STAT,SUMMARY,Value
2013,Prince Edward Island,Average expenditure per household,Maintenance and repairs of vehicles,885
2010,Prince Edward Island,Average expenditure per household,Vehicle security and communication services,F
2011,Prince Edward Island,Average expenditure per household,Vehicle security and communication services,F
2012,Prince Edward Island,Average expenditure per household,Vehicle security and communication services,F
2013,Prince Edward Island,Average expenditure per household,Vehicle security and communication services,F
2010,Prince Edward Island,Average expenditure per household,Gas and other fuels (all vehicles and tools),2295
2011,Prince Edward Island,Average expenditure per household,Gas and other fuels (all vehicles and tools),2939
2012,Prince Edward Island,Average expenditure per household,Gas and other fuels (all vehicles and tools),2879
2013,Prince Edward Island,Average expenditure per household,Gas and other fuels (all vehicles and tools),2604
2010,Prince Edward Island,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),127
2011,Prince Edward Island,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),129
2012,Prince Edward Island,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),99
2013,Prince Edward Island,Average expenditure per household,Parking (excluding parking fees included in rent and traffic and parking tickets),58
2010,Prince Edward Island,Average expenditure per household,"Other automobile, van and truck operation services",106
2011,Prince Edward Island,Average expenditure per household,"Other automobile, van and truck operation services",191
2012,Prince Edward Island,Average expenditure per household,"Other automobile, van and truck operation services",F
2013,Prince Edward Island,Average expenditure per household,"Other automobile, van and truck operation services",F
2010,Prince Edward Island,Average expenditure per household,Driving lessons,F
2011,Prince Edward Island,Average expenditure per household,Driving lessons,F
2012,Prince Edward Island,Average expenditure per household,Driving lessons,F
2013,Prince Edward Island,Average expenditure per household,Driving lessons,F
2010,Prince Edward Island,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",17
2011,Prince Edward Island,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",24
2012,Prince Edward Island,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",F
2013,Prince Edward Island,Average expenditure per household,"City or commuter bus, subway, street car and commuter train",29
2010,Prince Edward Island,Average expenditure per household,Taxi (including tips),79
2011,Prince Edward Island,Average expenditure per household,Taxi (including tips),75
2012,Prince Edward Island,Average expenditure per household,Taxi (including tips),59
2013,Prince Edward Island,Average expenditure per household,Taxi (including tips),63
2010,Prince Edward Island,Average expenditure per household,Other local passenger transportation,F
2011,Prince Edward Island,Average expenditure per household,Other local passenger transportation,F
2012,Prince Edward Island,Average expenditure per household,Other local passenger transportation,46
2013,Prince Edward Island,Average expenditure per household,Other local passenger transportation,34
2010,Prince Edward Island,Average expenditure per household,Airplane,363
2011,Prince Edward Island,Average expenditure per household,Airplane,301
2012,Prince Edward Island,Average expenditure per household,Airplane,467
2013,Prince Edward Island,Average expenditure per household,Airplane,513
2010,Prince Edward Island,Average expenditure per household,Inter-city bus,F
2011,Prince Edward Island,Average expenditure per household,Inter-city bus,F
2012,Prince Edward Island,Average expenditure per household,Inter-city bus,F
2013,Prince Edward Island,Average expenditure per household,Inter-city bus,F
2010,Prince Edward Island,Average expenditure per household,Other inter-city passenger transportation services,F
2011,Prince Edward Island,Average expenditure per household,Other inter-city passenger transportation services,F
2012,Prince Edward Island,Average expenditure per household,Other inter-city passenger transportation services,34
2013,Prince Edward Island,Average expenditure per household,Other inter-city passenger transportation services,58
2010,Prince Edward Island,Average expenditure per household,"Household moving, storage and delivery services",60
2011,Prince Edward Island,Average expenditure per household,"Household moving, storage and delivery services",22
2012,Prince Edward Island,Average expenditure per household,"Household moving, storage and delivery services",23
2013,Prince Edward Island,Average expenditure per household,"Household moving, storage and delivery services",40
2010,Prince Edward Island,Average expenditure per household,Prescribed medicines and pharmaceutical products,635
2011,Prince Edward Island,Average expenditure per household,Prescribed medicines and pharmaceutical products,638
2012,Prince Edward Island,Average expenditure per household,Prescribed medicines and pharmaceutical products,563
2013,Prince Edward Island,Average expenditure per household,Prescribed medicines and pharmaceutical products,574
2010,Prince Edward Island,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",226
2011,Prince Edward Island,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",257
2012,Prince Edward Island,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",279
2013,Prince Edward Island,Average expenditure per household,"Non-prescribed medicines, pharmaceutical products and health care supplies",292
2010,Prince Edward Island,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),38
2011,Prince Edward Island,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),144
2012,Prince Edward Island,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),104
2013,Prince Edward Island,Average expenditure per household,Health care practitioners (excluding general practitioners and specialists),122
2010,Prince Edward Island,Average expenditure per household,Health care by general practitioners and specialists,1
2011,Prince Edward Island,Average expenditure per household,Health care by general practitioners and specialists,29
2012,Prince Edward Island,Average expenditure per household,Health care by general practitioners and specialists,9
2013,Prince Edward Island,Average expenditure per household,Health care by general practitioners and specialists,9
2010,Prince Edward Island,Average expenditure per household,"Weight control programs, smoking cessation programs and other medical services",41
2011,Prince Edward Island,Average expenditure per household,"Weight control programs, smoking cessation programs and other medical services",21
2012,Prince Edward Island,Average expenditure per household,"Weight control programs, smoking cessation programs and other medical services",40
2013,Prince Edward Island,Average expenditure per household,"Weight control programs, smoking cessation programs and other medical services",45
2010,Prince Edward Island,Average expenditure per household,"Hospital care, nursing homes and other residential care facilities",F
2011,Prince Edward Island,Average expenditure per household,"Hospital care, nursing homes and other residential care facilities",F
2012,Prince Edward Island,Average expenditure per household,"Hospital care, nursing homes and other residential care facilities",F
2013,Prince Edward Island,Average expenditure per household,"Hospital care, nursing homes and other residential care facilities",F
2010,Prince Edward Island,Average expenditure per household,Prescription eye wear,93
2011,Prince Edward Island,Average expenditure per household,Prescription eye wear,125
2012,Prince Edward Island,Average expenditure per household,Prescription eye wear,133
2013,Prince Edward Island,Average expenditure per household,Prescription eye wear,111
2010,Prince Edward Island,Average expenditure per household,Non-prescription eye wear and other eye-care goods,F
2011,Prince Edward Island,Average expenditure per household,Non-prescription eye wear and other eye-care goods,F
2012,Prince Edward Island,Average expenditure per household,Non-prescription eye wear and other eye-care goods,F
2013,Prince Edward Island,Average expenditure per household,Non-prescription eye wear and other eye-care goods,F
2010,Prince Edward Island,Average expenditure per household,"Eye-care services (e.g. surgery, exams)",45
2011,Prince Edward Island,Average expenditure per household,"Eye-care services (e.g. surgery, exams)",35
2012,Prince Edward Island,Average expenditure per household,"Eye-care services (e.g. surgery, exams)",44
2013,Prince Edward Island,Average expenditure per household,"Eye-care services (e.g. surgery, exams)",66
2010,Prince Edward Island,Average expenditure per household,Dental services,254
2011,Prince Edward Island,Average expenditure per household,Dental services,265
2012,Prince Edward Island,Average expenditure per household,Dental services,233
2013,Prince Edward Island,Average expenditure per household,Dental services,262
2010,Prince Edward Island,Average expenditure per household,Private health care plan premiums,488
2011,Prince Edward Island,Average expenditure per household,Private health care plan premiums,389
2012,Prince Edward Island,Average expenditure per household,Private health care plan premiums,592
2013,Prince Edward Island,Average expenditure per household,Private health care plan premiums,665
2010,Prince Edward Island,Average expenditure per household,Dental plan premiums,39
2011,Prince Edward Island,Average expenditure per household,Dental plan premiums,38
2012,Prince Edward Island,Average expenditure per household,Dental plan premiums,35
2013,Prince Edward Island,Average expenditure per household,Dental plan premiums,57
2010,Prince Edward Island,Average expenditure per household,Accident or disability insurance premiums,156
2011,Prince Edward Island,Average expenditure per household,Accident or disability insurance premiums,97
2012,Prince Edward Island,Average expenditure per household,Accident or disability insurance premiums,109
2013,Prince Edward Island,Average expenditure per household,Accident or disability insurance premiums,159
2010,Prince Edward Island,Average expenditure per household,Personal care,693
2011,Prince Edward Island,Average expenditure per household,Personal care,771
2012,Prince Edward Island,Average expenditure per household,Personal care,950
2013,Prince Edward Island,Average expenditure per household,Personal care,1004
2010,Prince Edward Island,Average expenditure per household,Hair care products,70
2011,Prince Edward Island,Average expenditure per household,Hair care products,88
2012,Prince Edward Island,Average expenditure per household,Hair care products,78
2013,Prince Edward Island,Average expenditure per household,Hair care products,99
2010,Prince Edward Island,Average expenditure per household,"Makeup, skin care and manicure products",135
2011,Prince Edward Island,Average expenditure per household,"Makeup, skin care and manicure products",225
2012,Prince Edward Island,Average expenditure per household,"Makeup, skin care and manicure products",123
2013,Prince Edward Island,Average expenditure per household,"Makeup, skin care and manicure products",192
2010,Prince Edward Island,Average expenditure per household,Fragrance products,F
2011,Prince Edward Island,Average expenditure per household,Fragrance products,F
2012,Prince Edward Island,Average expenditure per household,Fragrance products,F
2013,Prince Edward Island,Average expenditure per household,Fragrance products,F
2010,Prince Edward Island,Average expenditure per household,Personal deodorants,13
2011,Prince Edward Island,Average expenditure per household,Personal deodorants,F
2012,Prince Edward Island,Average expenditure per household,Personal deodorants,F
2013,Prince Edward Island,Average expenditure per household,Personal deodorants,F
2010,Prince Edward Island,Average expenditure per household,Body soaps,28
2011,Prince Edward Island,Average expenditure per household,Body soaps,34
2012,Prince Edward Island,Average expenditure per household,Body soaps,36
2013,Prince Edward Island,Average expenditure per household,Body soaps,34
2010,Prince Edward Island,Average expenditure per household,Oral hygiene products,50
2011,Prince Edward Island,Average expenditure per household,Oral hygiene products,46
2012,Prince Edward Island,Average expenditure per household,Oral hygiene products,64
2013,Prince Edward Island,Average expenditure per household,Oral hygiene products,37
2010,Prince Edward Island,Average expenditure per household,Disposable diapers,F
2011,Prince Edward Island,Average expenditure per household,Disposable diapers,F
2012,Prince Edward Island,Average expenditure per household,Disposable diapers,F
2013,Prince Edward Island,Average expenditure per household,Disposable diapers,F
2010,Prince Edward Island,Average expenditure per household,Other personal care supplies and equipment,112
2011,Prince Edward Island,Average expenditure per household,Other personal care supplies and equipment,133
2012,Prince Edward Island,Average expenditure per household,Other personal care supplies and equipment,108
2013,Prince Edward Island,Average expenditure per household,Other personal care supplies and equipment,118
2010,Prince Edward Island,Average expenditure per household,Hair grooming services,198
2011,Prince Edward Island,Average expenditure per household,Hair grooming services,195
2012,Prince Edward Island,Average expenditure per household,Hair grooming services,392
2013,Prince Edward Island,Average expenditure per household,Hair grooming services,381
2010,Prince Edward Island,Average expenditure per household,Other personal care services,F
2011,Prince Edward Island,Average expenditure per household,Other personal care services,F
2012,Prince Edward Island,Average expenditure per household,Other personal care services,67
2013,Prince Edward Island,Average expenditure per household,Other personal care services,65
2010,Prince Edward Island,Average expenditure per household,"Sports, athletic and recreation equipment and related services",F
2011,Prince Edward Island,Average expenditure per household,"Sports, athletic and recreation equipment and related services",F
2012,Prince Edward Island,Average expenditure per household,"Sports, athletic and recreation equipment and related services",F
2013,Prince Edward Island,Average expenditure per household,"Sports, athletic and recreation equipment and related services",F
2010,Prince Edward Island,Average expenditure per household,Outdoor play equipment and accessories,F
2011,Prince Edward Island,Average expenditure per household,Outdoor play equipment and accessories,F
2012,Prince Edward Island,Average expenditure per household,Outdoor play equipment and accessories,F
2013,Prince Edward Island,Average expenditure per household,Outdoor play equipment and accessories,F
2010,Prince Edward Island,Average expenditure per household,Children's toys,112
2011,Prince Edward Island,Average expenditure per household,Children's toys,119
2012,Prince Edward Island,Average expenditure per household,Children's toys,242
2013,Prince Edward Island,Average expenditure per household,Children's toys,F
2010,Prince Edward Island,Average expenditure per household,Video game systems and accessories (excluding for computers),F
2011,Prince Edward Island,Average expenditure per household,Video game systems and accessories (excluding for computers),F
2012,Prince Edward Island,Average expenditure per household,Video game systems and accessories (excluding for computers),F
2013,Prince Edward Island,Average expenditure per household,Video game systems and accessories (excluding for computers),F
2010,Prince Edward Island,Average expenditure per household,Art and craft materials,F
2011,Prince Edward Island,Average expenditure per household,Art and craft materials,F
2012,Prince Edward Island,Average expenditure per household,Art and craft materials,F
2013,Prince Edward Island,Average expenditure per household,Art and craft materials,F
2010,Prince Edward Island,Average expenditure per household,Computer hardware,150
2011,Prince Edward Island,Average expenditure per household,Computer hardware,215
2012,Prince Edward Island,Average expenditure per household,Computer hardware,149
2013,Prince Edward Island,Average expenditure per household,Computer hardware,130
2010,Prince Edward Island,Average expenditure per household,Computer software and video game systems,F
2011,Prince Edward Island,Average expenditure per household,Computer software and video game systems,F
2012,Prince Edward Island,Average expenditure per household,Computer software and video game systems,F
2013,Prince Edward Island,Average expenditure per household,Computer software and video game systems,F
2010,Prince Edward Island,Average expenditure per household,Computer supplies and other equipment,F
2011,Prince Edward Island,Average expenditure per household,Computer supplies and other equipment,F
2012,Prince Edward Island,Average expenditure per household,Computer supplies and other equipment,F
2013,Prince Edward Island,Average expenditure per household,Computer supplies and other equipment,F
2010,Prince Edward Island,Average expenditure per household,Tablet computers,
2011,Prince Edward Island,Average expenditure per household,Tablet computers,
2012,Prince Edward Island,Average expenditure per household,Tablet computers,55
2013,Prince Edward Island,Average expenditure per household,Tablet computers,88
2010,Prince Edward Island,Average expenditure per household,Cameras and accessories,F
2011,Prince Edward Island,Average expenditure per household,Cameras and accessories,F
2012,Prince Edward Island,Average expenditure per household,Cameras and accessories,F
2013,Prince Edward Island,Average expenditure per household,Cameras and accessories,F
2010,Prince Edward Island,Average expenditure per household,Photographic services,144
2011,Prince Edward Island,Average expenditure per household,Photographic services,116
2012,Prince Edward Island,Average expenditure per household,Photographic services,67
2013,Prince Edward Island,Average expenditure per household,Photographic services,126
2010,Prince Edward Island,Average expenditure per household,"Collectors' items (e.g. stamps, coins)",F
2011,Prince Edward Island,Average expenditure per household,"Collectors' items (e.g. stamps, coins)",F
2012,Prince Edward Island,Average expenditure per household,"Collectors' items (e.g. stamps, coins)",F
2013,Prince Edward Island,Average expenditure per household,"Collectors' items (e.g. stamps, coins)",F
2010,Prince Edward Island,Average expenditure per household,Other recreational equipment and related services,F
2011,Prince Edward Island,Average expenditure per household,Other recreational equipment and related services,F
2012,Prince Edward Island,Average expenditure per household,Other recreational equipment and related services,F
2013,Prince Edward Island,Average expenditure per household,Other recreational equipment and related services,F
2010,Prince Edward Island,Average expenditure per household,Audio equipment,54
2011,Prince Edward Island,Average expenditure per household,Audio equipment,33
2012,Prince Edward Island,Average expenditure per household,Audio equipment,28
2013,Prince Edward Island,Average expenditure per household,Audio equipment,13
2010,Prince Edward Island,Average expenditure per household,Blu-ray players,F
2011,Prince Edward Island,Average expenditure per household,Blu-ray players,F
2012,Prince Edward Island,Average expenditure per household,Blu-ray players,F
2013,Prince Edward Island,Average expenditure per household,Blu-ray players,F
2010,Prince Edward Island,Average expenditure per household,DVD players,5
2011,Prince Edward Island,Average expenditure per household,DVD players,F
2012,Prince Edward Island,Average expenditure per household,DVD players,F
2013,Prince Edward Island,Average expenditure per household,DVD players,F
2010,Prince Edward Island,Average expenditure per household,Televisions and other video equipment and accessories,171
2011,Prince Edward Island,Average expenditure per household,Televisions and other video equipment and accessories,167
2012,Prince Edward Island,Average expenditure per household,Televisions and other video equipment and accessories,139
2013,Prince Edward Island,Average expenditure per household,Televisions and other video equipment and accessories,107
2010,Prince Edward Island,Average expenditure per household,Home theatre systems,F
2011,Prince Edward Island,Average expenditure per household,Home theatre systems,F
2012,Prince Edward Island,Average expenditure per household,Home theatre systems,F
2013,Prince Edward Island,Average expenditure per household,Home theatre systems,F
2010,Prince Edward Island,Average expenditure per household,"Pre-recorded media, music downloads and blank audio and video media",76
2011,Prince Edward Island,Average expenditure per household,"Pre-recorded media, music downloads and blank audio and video media",F
2012,Prince Edward Island,Average expenditure per household,"Pre-recorded media, music downloads and blank audio and video media",F
2013,Prince Edward Island,Average expenditure per household,"Pre-recorded media, music downloads and blank audio and video media",F
2010,Prince Edward Island,Average expenditure per household,Rental of video media,26
2011,Prince Edward Island,Average expenditure per household,Rental of video media,F
2012,Prince Edward Island,Average expenditure per household,Rental of video media,F
2013,Prince Edward Island,Average expenditure per household,Rental of video media,F
2010,Prince Edward Island,Average expenditure per household,Maintenance and repairs of electronic and communications equipment,F
2011,Prince Edward Island,Average expenditure per household,Maintenance and repairs of electronic and communications equipment,F
2012,Prince Edward Island,Average expenditure per household,Maintenance and repairs of electronic and communications equipment,F
2013,Prince Edward Island,Average expenditure per household,Maintenance and repairs of electronic and communications equipment,F
2010,Prince Edward Island,Average expenditure per household,Movie theatres,73
2011,Prince Edward Island,Average expenditure per household,Movie theatres,F
2012,Prince Edward Island,Average expenditure per household,Movie theatres,F
2013,Prince Edward Island,Average expenditure per household,Movie theatres,F
2010,Prince Edward Island,Average expenditure per household,Live sporting and performing arts events,F
2011,Prince Edward Island,Average expenditure per household,Live sporting and performing arts events,F
2012,Prince Edward Island,Average expenditure per household,Live sporting and performing arts events,F
2013,Prince Edward Island,Average expenditure per household,Live sporting and performing arts events,F
2010,Prince Edward Island,Average expenditure per household,"Admission fees to museums, zoos and other sites",F
2011,Prince Edward Island,Average expenditure per household,"Admission fees to museums, zoos and other sites",F
2012,Prince Edward Island,Average expenditure per household,"Admission fees to museums, zoos and other sites",F
2013,Prince Edward Island,Average expenditure per household,"Admission fees to museums, zoos and other sites",F
2010,Prince Edward Island,Average expenditure per household,"Rental of cablevision services (including any installation, service and pay TV charges)",299
2011,Prince Edward Island,Average expenditure per household,"Rental of cablevision services (including any installation, service and pay TV charges)",332
2012,Prince Edward Island,Average expenditure per household,"Rental of cablevision services (including any installation, service and pay TV charges)",393
2013,Prince Edward Island,Average expenditure per household,"Rental of cablevision services (including any installation, service and pay TV charges)",411
2010,Prince Edward Island,Average expenditure per household,"Rental of satellite TV or radio services (including installation, service and pay TV charges)",373
2011,Prince Edward Island,Average expenditure per household,"Rental of satellite TV or radio services (including installation, service and pay TV charges)",373
2012,Prince Edward Island,Average expenditure per household,"Rental of satellite TV or radio services (including installation, service and pay TV charges)",312
2013,Prince Edward Island,Average expenditure per household,"Rental of satellite TV or radio services (including installation, service and pay TV charges)",342
2010,Prince Edward Island,Average expenditure per household,Dues and fees for sports and recreation facilities,181
2011,Prince Edward Island,Average expenditure per household,Dues and fees for sports and recreation facilities,190
2012,Prince Edward Island,Average expenditure per household,Dues and fees for sports and recreation facilities,253
2013,Prince Edward Island,Average expenditure per household,Dues and fees for sports and recreation facilities,208
2010,Prince Edward Island,Average expenditure per household,Children's camps,38
2011,Prince Edward Island,Average expenditure per household,Children's camps,46
2012,Prince Edward Island,Average expenditure per household,Children's camps,49
2013,Prince Edward Island,Average expenditure per household,Children's camps,32
2010,Prince Edward Island,Average expenditure per household,Package trips,327
2011,Prince Edward Island,Average expenditure per household,Package trips,341
2012,Prince Edward Island,Average expenditure per household,Package trips,426
2013,Prince Edward Island,Average expenditure per household,Package trips,234
2010,Prince Edward Island,Average expenditure per household,Motorcycles and snowmobiles (purchase),F
2011,Prince Edward Island,Average expenditure per household,Motorcycles and snowmobiles (purchase),F
2012,Prince Edward Island,Average expenditure per household,Motorcycles and snowmobiles (purchase),F
2013,Prince Edward Island,Average expenditure per household,Motorcycles and snowmobiles (purchase),F
2010,Prince Edward Island,Average expenditure per household,All-terrain vehicles (purchase),F
2011,Prince Edward Island,Average expenditure per household,All-terrain vehicles (purchase),F
2012,Prince Edward Island,Average expenditure per household,All-terrain vehicles (purchase),F
2013,Prince Edward Island,Average expenditure per household,All-terrain vehicles (purchase),F
2010,Prince Edward Island,Average expenditure per household,"Bicycles (purchase), parts and accessories",19
2011,Prince Edward Island,Average expenditure per household,"Bicycles (purchase), parts and accessories",24
2012,Prince Edward Island,Average expenditure per household,"Bicycles (purchase), parts and accessories",37
2013,Prince Edward Island,Average expenditure per household,"Bicycles (purchase), parts and accessories",29
2010,Prince Edward Island,Average expenditure per household,Other recreational vehicles (purchase),F
2011,Prince Edward Island,Average expenditure per household,Other recreational vehicles (purchase),F
2012,Prince Edward Island,Average expenditure per household,Other recreational vehicles (purchase),F
2013,Prince Edward Island,Average expenditure per household,Other recreational vehicles (purchase),F
2010,Prince Edward Island,Average expenditure per household,Insurance premiums for recreational vehicles,34
2011,Prince Edward Island,Average expenditure per household,Insurance premiums for recreational vehicles,36
2012,Prince Edward Island,Average expenditure per household,Insurance premiums for recreational vehicles,62
2013,Prince Edward Island,Average expenditure per household,Insurance premiums for recreational vehicles,40
2010,Prince Edward Island,Average expenditure per household,Registration fees and licences for recreational vehicles,6
2011,Prince Edward Island,Average expenditure per household,Registration fees and licences for recreational vehicles,7
2012,Prince Edward Island,Average expenditure per household,Registration fees and licences for recreational vehicles,15
2013,Prince Edward Island,Average expenditure per household,Registration fees and licences for recreational vehicles,12
2010,Prince Edward Island,Average expenditure per household,"Parking, hangar and airport fees, mooring and boat storage and harbour dues",0
2011,Prince Edward Island,Average expenditure per household,"Parking, hangar and airport fees, mooring and boat storage and harbour dues",F
2012,Prince Edward Island,Average expenditure per household,"Parking, hangar and airport fees, mooring and boat storage and harbour dues",F
2013,Prince Edward Island,Average expenditure per household,"Parking, hangar and airport fees, mooring and boat storage and harbour dues",F
2010,Prince Edward Island,Average expenditure per household,Other expenses for recreational vehicles,F
2011,Prince Edward Island,Average expenditure per household,Other expenses for recreational vehicles,F
2012,Prince Edward Island,Average expenditure per household,Other expenses for recreational vehicles,F
2013,Prince Edward Island,Average expenditure per household,Other expenses for recreational vehicles,F
2010,Prince Edward Island,Average expenditure per household,Newspapers,40
2011,Prince Edward Island,Average expenditure per household,Newspapers,38
2012,Prince Edward Island,Average expenditure per household,Newspapers,28
2013,Prince Edward Island,Average expenditure per household,Newspapers,F
2010,Prince Edward Island,Average expenditure per household,Magazines and periodicals,31
2011,Prince Edward Island,Average expenditure per household,Magazines and periodicals,28
2012,Prince Edward Island,Average expenditure per household,Magazines and periodicals,F
2013,Prince Edward Island,Average expenditure per household,Magazines and periodicals,F
2010,Prince Edward Island,Average expenditure per household,Books and pamphlets (excluding school books),77
2011,Prince Edward Island,Average expenditure per household,Books and pamphlets (excluding school books),62
2012,Prince Edward Island,Average expenditure per household,Books and pamphlets (excluding school books),204
2013,Prince Edward Island,Average expenditure per household,Books and pamphlets (excluding school books),F
2010,Prince Edward Island,Average expenditure per household,"Maps, sheet music and other printed matter",F
2011,Prince Edward Island,Average expenditure per household,"Maps, sheet music and other printed matter",F
2012,Prince Edward Island,Average expenditure per household,"Maps, sheet music and other printed matter",F
2013,Prince Edward Island,Average expenditure per household,"Maps, sheet music and other printed matter",F
2010,Prince Edward Island,Average expenditure per household,"Services related to reading materials (e.g. duplicating, library fees)",F
2011,Prince Edward Island,Average expenditure per household,"Services related to reading materials (e.g. duplicating, library fees)",F
2012,Prince Edward Island,Average expenditure per household,"Services related to reading materials (e.g. duplicating, library fees)",F
2013,Prince Edward Island,Average expenditure per household,"Services related to reading materials (e.g. duplicating, library fees)",F
2010,Prince Edward Island,Average expenditure per household,Cigarettes,340
2011,Prince Edward Island,Average expenditure per household,Cigarettes,385
2012,Prince Edward Island,Average expenditure per household,Cigarettes,347
2013,Prince Edward Island,Average expenditure per household,Cigarettes,739
2010,Prince Edward Island,Average expenditure per household,Other tobacco products and smokers' supplies,84
2011,Prince Edward Island,Average expenditure per household,Other tobacco products and smokers' supplies,118
2012,Prince Edward Island,Average expenditure per household,Other tobacco products and smokers' supplies,F
2013,Prince Edward Island,Average expenditure per household,Other tobacco products and smokers' supplies,F
2010,Prince Edward Island,Average expenditure per household,Alcoholic beverages served on licensed premises and in restaurants,94
2011,Prince Edward Island,Average expenditure per household,Alcoholic beverages served on licensed premises and in restaurants,147
2012,Prince Edward Island,Average expenditure per household,Alcoholic beverages served on licensed premises and in restaurants,160
2013,Prince Edward Island,Average expenditure per household,Alcoholic beverages served on licensed premises and in restaurants,128
2010,Prince Edward Island,Average expenditure per household,Alcoholic beverages purchased from stores,321
2011,Prince Edward Island,Average expenditure per household,Alcoholic beverages purchased from stores,591
2012,Prince Edward Island,Average expenditure per household,Alcoholic beverages purchased from stores,395
2013,Prince Edward Island,Average expenditure per household,Alcoholic beverages purchased from stores,446
2010,Prince Edward Island,Average expenditure per household,Self-made alcoholic beverages,F
2011,Prince Edward Island,Average expenditure per household,Self-made alcoholic beverages,F
2012,Prince Edward Island,Average expenditure per household,Self-made alcoholic beverages,F
2013,Prince Edward Island,Average expenditure per household,Self-made alcoholic beverages,F
2010,Prince Edward Island,Average expenditure per household,"Casinos, bingos and gaming machines",F
2011,Prince Edward Island,Average expenditure per household,"Casinos, bingos and gaming machines",F
2012,Prince Edward Island,Average expenditure per household,"Casinos, bingos and gaming machines",F
2013,Prince Edward Island,Average expenditure per household,"Casinos, bingos and gaming machines",F
2010,Prince Edward Island,Average expenditure per household,Non-government lotteries and raffle tickets,10
2011,Prince Edward Island,Average expenditure per household,Non-government lotteries and raffle tickets,16
2012,Prince Edward Island,Average expenditure per household,Non-government lotteries and raffle tickets,F
2013,Prince Edward Island,Average expenditure per household,Non-government lotteries and raffle tickets,F
2010,Prince Edward Island,Average expenditure per household,Service charges for banks and other financial institutions,111
2011,Prince Edward Island,Average expenditure per household,Service charges for banks and other financial institutions,204
2012,Prince Edward Island,Average expenditure per household,Service charges for banks and other financial institutions,193
2013,Prince Edward Island,Average expenditure per household,Service charges for banks and other financial institutions,189
2010,Prince Edward Island,Average expenditure per household,Stock and bond commissions,F
2011,Prince Edward Island,Average expenditure per household,Stock and bond commissions,F
2012,Prince Edward Island,Average expenditure per household,Stock and bond commissions,74
2013,Prince Edward Island,Average expenditure per household,Stock and bond commissions,21
2010,Prince Edward Island,Average expenditure per household,Brokerage fees and other similar services,75
2011,Prince Edward Island,Average expenditure per household,Brokerage fees and other similar services,44
2012,Prince Edward Island,Average expenditure per household,Brokerage fees and other similar services,20
2013,Prince Edward Island,Average expenditure per household,Brokerage fees and other similar services,75
2010,Prince Edward Island,Average expenditure per household,Other financial services,78
2011,Prince Edward Island,Average expenditure per household,Other financial services,238
2012,Prince Edward Island,Average expenditure per household,Other financial services,102
2013,Prince Edward Island,Average expenditure per household,Other financial services,125
2010,Prince Edward Island,Average expenditure per household,"Forfeit of deposits, fines, and money lost or stolen",35
2011,Prince Edward Island,Average expenditure per household,"Forfeit of deposits, fines, and money lost or stolen",22
2012,Prince Edward Island,Average expenditure per household,"Forfeit of deposits, fines, and money lost or stolen",29
2013,Prince Edward Island,Average expenditure per household,"Forfeit of deposits, fines, and money lost or stolen",31
2010,Prince Edward Island,Average expenditure per household,Legal services not related to dwellings,34
2011,Prince Edward Island,Average expenditure per household,Legal services not related to dwellings,85
2012,Prince Edward Island,Average expenditure per household,Legal services not related to dwellings,96
2013,Prince Edward Island,Average expenditure per household,Legal services not related to dwellings,73
2010,Prince Edward Island,Average expenditure per household,Dues to unions and professional associations,226
2011,Prince Edward Island,Average expenditure per household,Dues to unions and professional associations,202
2012,Prince Edward Island,Average expenditure per household,Dues to unions and professional associations,194
2013,Prince Edward Island,Average expenditure per household,Dues to unions and professional associations,234
2010,Prince Edward Island,Average expenditure per household,Contributions and dues for social clubs and other organizations,40
2011,Prince Edward Island,Average expenditure per household,Contributions and dues for social clubs and other organizations,66
2012,Prince Edward Island,Average expenditure per household,Contributions and dues for social clubs and other organizations,43
2013,Prince Edward Island,Average expenditure per household,Contributions and dues for social clubs and other organizations,61
2010,Prince Edward Island,Average expenditure per household,Funeral services,F
2011,Prince Edward Island,Average expenditure per household,Funeral services,F
2012,Prince Edward Island,Average expenditure per household,Funeral services,F
2013,Prince Edward Island,Average expenditure per household,Funeral services,204
2010,Prince Edward Island,Average expenditure per household,Government services,28
2011,Prince Edward Island,Average expenditure per household,Government services,52
2012,Prince Edward Island,Average expenditure per household,Government services,77
2013,Prince Edward Island,Average expenditure per household,Government services,44
2010,Prince Edward Island,Average expenditure per household,Wholesale/retail memberships,6
2011,Prince Edward Island,Average expenditure per household,Wholesale/retail memberships,F
2012,Prince Edward Island,Average expenditure per household,Wholesale/retail memberships,22
2013,Prince Edward Island,Average expenditure per household,Wholesale/retail memberships,24
2010,Prince Edward Island,Average expenditure per household,Other goods and services,166
